Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,1209.26,2270916,98.25,34011,N/A,1131.04
astar,true,2484.36,2270755,98.25,34011,N/A,1108.02
bfs,true,847.75,2270914,98.25,34011,N/A,1222.28
dfs,true,412.14,1302963,56.37,34011,N/A,806.74
wallFollower,true,1044.18,2438491,105.51,34011,N/A,1033.93
dijkstra,false,2305.29,2529904,99.97,5087,0,658.31
astar,false,3000.82,2529857,99.96,5088,1,498.84
bfs,false,661.66,2529903,99.97,5087,0,818.57
dfs,false,123.51,430956,17.03,92074,86987,287.13
wallFollower,false,38.38,64763,2.56,26530,21443,226.39
