Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,56.11,129366,94.23,5949,N/A,77.92
astar,true,105.57,128945,93.92,5949,N/A,55.13
bfs,true,49.73,129364,94.23,5949,N/A,74.65
dfs,true,25.09,70812,51.58,5949,N/A,42.22
wallFollower,true,62.34,136156,99.18,5949,N/A,73.48
dijkstra,false,76.00,150156,99.94,1255,0,58.36
astar,false,121.82,150092,99.90,1256,1,62.45
bfs,false,43.20,150156,99.94,1255,0,56.01
dfs,false,9.01,30427,20.25,9171,7916,20.64
wallFollower,false,30.14,68522,45.59,5499,4244,33.32
