Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,3187.30,5733074,99.19,65963,N/A,1984.13
astar,true,6516.68,5732959,99.19,65963,N/A,2168.00
bfs,true,2109.48,5733070,99.19,65963,N/A,3307.52
dfs,true,882.28,2805159,48.53,65963,N/A,1806.42
wallFollower,true,2151.87,4857396,84.04,65963,N/A,2478.33
dijkstra,false,7732.38,6327508,99.97,8061,0,1754.27
astar,false,8539.26,6327481,99.97,8061,0,1585.13
bfs,false,1704.28,6327508,99.97,8061,0,2635.43
dfs,false,282.32,518684,8.19,261555,253494,568.12
wallFollower,false,564.33,1350534,21.34,42310,34249,828.50
