Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,7144.45,7250179,97.83,24227,1702.16
astar,true,6084.72,7284334,98.29,24227,1873.39
bfs,true,4035.84,7250194,97.83,24227,4155.94
dfs,true,1605.33,4035953,54.46,24227,2323.83
wallFollower,true,2114.90,6774393,91.41,24227,2825.33
dijkstra,false,7974.28,7457119,98.28,19729,2222.67
astar,false,6196.04,7514796,99.05,19729,3061.79
bfs,false,4131.83,7457122,98.28,19729,3694.31
dfs,false,1222.03,2998307,39.52,78489,2058.79
wallFollower,false,2307.06,7305925,96.29,542589,3290.01
