Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,635.51,1206503,97.40,22771,N/A,446.94
astar,true,1208.22,1206305,97.38,22771,N/A,620.57
bfs,true,428.23,1206505,97.40,22771,N/A,700.99
dfs,true,226.00,672631,54.30,22771,N/A,498.59
wallFollower,true,557.76,1308963,105.67,22771,N/A,560.81
dijkstra,false,1045.88,1355785,99.97,3764,0,432.88
astar,false,1455.18,1355742,99.96,3765,1,365.74
bfs,false,381.10,1355784,99.96,3764,0,570.30
dfs,false,105.23,244399,18.02,55734,51970,136.82
wallFollower,false,139.54,313565,23.12,19007,15243,227.71
