Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,727.81,1309014,90.59,14228,389.86
astar,true,799.73,1333288,92.27,14228,514.02
bfs,true,447.60,1309029,90.59,14228,868.92
dfs,true,188.99,516667,35.76,14228,306.84
wallFollower,true,658.59,1674370,115.87,14228,583.71
dijkstra,false,1272.29,1505971,95.19,2876,447.29
astar,false,819.60,872626,55.16,2920,457.10
bfs,false,422.09,1506002,95.19,2876,563.50
dfs,false,163.51,426646,26.97,87461,271.37
wallFollower,false,165.36,363923,23.00,21192,250.63
