Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,26.34,63078,90.19,4158,N/A,30.24
astar,true,48.96,62536,89.42,4158,N/A,18.73
bfs,true,25.53,63079,90.19,4158,N/A,21.58
dfs,true,14.09,33581,48.02,4158,N/A,19.12
wallFollower,true,36.06,78115,111.69,4158,N/A,22.43
dijkstra,false,36.04,76443,99.87,917,0,22.42
astar,false,58.19,76339,99.73,917,0,26.90
bfs,false,22.20,76440,99.87,917,0,21.18
dfs,false,7.78,9935,12.98,5508,4591,9.81
wallFollower,false,14.25,24695,32.24,4222,3305,18.10
