Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,1.08,867,69.43,323,N/A,0.38
astar,true,1.17,565,45.27,323,N/A,0.44
bfs,true,1.04,867,69.42,323,N/A,0.38
dfs,true,0.92,681,54.56,323,N/A,0.37
wallFollower,true,1.26,1158,92.75,323,N/A,0.45
dijkstra,false,1.10,1315,96.58,119,0,0.42
astar,false,0.82,213,15.68,156,37,0.36
bfs,false,1.04,1317,96.72,119,0,0.38
dfs,false,0.85,438,32.14,285,166,0.31
wallFollower,false,1.14,1285,94.36,338,219,0.51
