Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,1804.30,3301430,97.68,42511,N/A,1285.54
astar,true,3595.28,3301277,97.67,42511,N/A,1533.83
bfs,true,1224.87,3301435,97.68,42511,N/A,1654.85
dfs,true,490.73,1614005,47.75,42511,N/A,1088.72
wallFollower,true,1431.80,3364713,99.55,42511,N/A,1649.62
dijkstra,false,3874.84,3699887,99.97,6138,0,1042.26
astar,false,4931.69,3699850,99.97,6138,0,845.09
bfs,false,1119.30,3699888,99.97,6138,0,1275.29
dfs,false,262.71,652459,17.63,143631,137493,431.59
wallFollower,false,615.24,1530831,41.36,33209,27071,688.04
