Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,78.91,185968,95.52,7730,N/A,103.66
astar,true,149.32,185680,95.37,7730,N/A,74.35
bfs,true,72.39,185968,95.52,7730,N/A,119.51
dfs,true,33.29,92939,47.74,7730,N/A,56.04
wallFollower,true,92.49,212060,108.92,7730,N/A,81.40
dijkstra,false,115.79,213018,99.96,1501,0,62.58
astar,false,171.21,212964,99.93,1501,0,74.47
bfs,false,56.62,213018,99.96,1501,0,97.69
dfs,false,21.37,60700,28.48,12494,10993,33.90
wallFollower,false,45.11,96768,45.41,6866,5365,50.40
