Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,1845.45,3477113,99.03,47744,N/A,1714.16
astar,true,3834.21,3477049,99.03,47744,N/A,1475.61
bfs,true,1259.17,3477111,99.03,47744,N/A,1542.11
dfs,true,451.37,1448942,41.27,47744,N/A,1033.03
wallFollower,true,1658.97,4176775,118.95,47744,N/A,1899.33
dijkstra,false,3954.31,3843747,99.97,6280,0,928.70
astar,false,4971.68,3843722,99.97,6280,0,939.85
bfs,false,988.74,3843747,99.97,6280,0,1439.24
dfs,false,150.67,232837,6.06,119288,113008,337.59
wallFollower,false,85.32,87247,2.27,34251,27971,305.84
