Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,3550.38,6109239,98.39,60946,N/A,2693.75
astar,true,7102.44,6109079,98.39,60946,N/A,2613.32
bfs,true,2306.80,6109239,98.39,60946,N/A,2535.96
dfs,true,830.90,2763257,44.50,60946,N/A,1993.75
wallFollower,true,2861.01,7020085,113.06,60946,N/A,3187.67
dijkstra,false,8710.77,6797331,99.97,8357,0,2136.15
astar,false,9633.93,6797281,99.97,8358,1,1936.81
bfs,false,2053.86,6797331,99.97,8357,0,2689.89
dfs,false,276.18,463542,6.82,236364,228007,595.95
wallFollower,false,1161.73,2783221,40.93,41980,33623,1058.53
