Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,638.29,1273168,96.55,25283,N/A,468.92
astar,true,1278.97,1272989,96.53,25283,N/A,511.19
bfs,true,456.27,1273170,96.55,25283,N/A,681.95
dfs,true,215.72,656736,49.80,25283,N/A,432.21
wallFollower,true,651.60,1614574,122.44,25283,N/A,618.64
dijkstra,false,1121.52,1443352,99.97,3851,0,320.03
astar,false,1529.79,1443308,99.96,3851,0,393.67
bfs,false,348.30,1443353,99.97,3851,0,598.69
dfs,false,81.73,112995,7.83,59408,55557,122.59
wallFollower,false,42.07,52937,3.67,20681,16830,105.48
