Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,65.21,144999,95.87,6596,N/A,75.39
astar,true,115.01,144721,95.68,6596,N/A,48.81
bfs,true,56.66,144998,95.87,6596,N/A,77.25
dfs,true,34.80,85964,56.84,6596,N/A,65.13
wallFollower,true,53.70,103335,68.32,6596,N/A,73.75
dijkstra,false,82.75,165463,99.95,1322,0,68.90
astar,false,132.59,165437,99.93,1323,1,29.35
bfs,false,43.89,165462,99.95,1322,0,53.42
dfs,false,16.61,35215,21.27,11162,9840,20.63
wallFollower,false,13.60,17530,10.59,6532,5210,23.11
