Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,9892.77,9489756,98.03,28277,3786.73
astar,true,8356.29,9526994,98.42,28277,3462.07
bfs,true,6038.72,9489762,98.03,28277,3889.80
dfs,true,1863.15,4470677,46.18,28277,2716.21
wallFollower,true,3079.58,10446804,107.92,28277,4393.23
dijkstra,false,11233.34,9766113,98.55,22954,4043.21
astar,false,8710.89,9834639,99.24,22954,4356.41
bfs,false,5546.61,9766112,98.55,22954,5225.23
dfs,false,2031.19,4979716,50.25,64960,2911.72
wallFollower,false,3012.29,9637262,97.25,727138,5143.36
