Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,198.62,432742,95.90,12873,N/A,158.65
astar,true,377.28,432459,95.84,12873,N/A,173.29
bfs,true,149.40,432740,95.90,12873,N/A,227.89
dfs,true,82.87,233630,51.77,12873,N/A,170.90
wallFollower,true,155.99,353987,78.45,12873,N/A,208.81
dijkstra,false,299.56,493834,99.97,2270,0,202.61
astar,false,468.01,493803,99.96,2271,1,127.69
bfs,false,118.73,493834,99.97,2270,0,188.63
dfs,false,25.75,42836,8.67,22844,20574,47.81
wallFollower,false,88.12,213243,43.16,10339,8069,110.50
