Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,2725.01,3316823,98.13,15750,1421.91
astar,true,2449.22,3329164,98.50,15750,1286.46
bfs,true,1682.11,3316832,98.13,15750,1795.57
dfs,true,633.28,1526415,45.16,15750,1102.14
wallFollower,true,1109.11,3720273,110.07,15750,1655.32
dijkstra,false,3142.92,3415311,98.70,13149,1352.52
astar,false,2555.82,3439554,99.40,13149,1623.82
bfs,false,1782.04,3415315,98.70,13149,1603.61
dfs,false,677.80,1430285,41.33,29798,1159.07
wallFollower,false,1246.17,3982721,115.10,255666,2111.28
