Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,2831.25,5010657,99.47,56809,N/A,1857.20
astar,true,5693.60,5010605,99.47,56809,N/A,1856.07
bfs,true,1771.69,5010659,99.47,56809,N/A,2301.79
dfs,true,650.28,2170989,43.10,56809,N/A,1527.84
wallFollower,true,2108.67,4871643,96.71,56809,N/A,2701.27
dijkstra,false,6650.31,5514291,99.97,7510,0,1354.45
astar,false,7753.37,5514254,99.97,7510,0,1362.28
bfs,false,1733.37,5514291,99.97,7510,0,2173.26
dfs,false,242.32,394447,7.15,197224,189714,439.84
wallFollower,false,1324.42,3351279,60.76,39057,31547,1434.06
