Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,12.38,28579,91.46,2475,N/A,16.42
astar,true,21.50,28195,90.23,2475,N/A,11.11
bfs,true,10.50,28579,91.46,2475,N/A,14.40
dfs,true,6.16,15203,48.65,2475,N/A,11.65
wallFollower,true,14.96,32170,102.95,2475,N/A,14.55
dijkstra,false,15.10,34107,99.82,614,0,10.48
astar,false,26.25,34011,99.54,615,1,10.05
bfs,false,10.76,34106,99.82,614,0,13.31
dfs,false,4.30,11117,32.56,3889,3275,6.43
wallFollower,false,9.13,18179,53.21,2610,1996,10.13
