Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,1941.48,3683204,99.28,51568,N/A,1276.94
astar,true,4134.97,3683105,99.27,51568,N/A,1812.65
bfs,true,1299.22,3683204,99.28,51568,N/A,1861.78
dfs,true,452.62,1243672,33.52,51568,N/A,904.92
wallFollower,true,1625.69,4014102,108.19,51568,N/A,1529.57
dijkstra,false,4354.14,4061349,99.97,6443,0,1519.93
astar,false,5431.10,4061298,99.97,6444,1,1167.78
bfs,false,1128.23,4061348,99.97,6443,0,1457.07
dfs,false,150.16,303290,7.47,150551,144108,371.08
wallFollower,false,961.83,2473164,60.87,33333,26890,646.60
