Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,4331.93,7417734,98.85,72027,N/A,3231.08
astar,true,9116.59,7417580,98.85,72027,N/A,2855.12
bfs,true,2536.33,7417730,98.85,72027,N/A,4499.06
dfs,true,1124.90,3393055,45.22,72027,N/A,2176.99
wallFollower,true,3325.45,8221430,109.56,72027,N/A,3460.18
dijkstra,false,11205.94,8214441,99.97,9200,0,2692.87
astar,false,12439.07,8214399,99.97,9200,0,2890.13
bfs,false,2542.59,8214438,99.97,9200,0,3684.28
dfs,false,399.77,568136,6.91,273773,264573,588.21
wallFollower,false,767.45,1746605,21.26,49800,40600,1201.96
