Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,957.44,1946449,97.32,31513,N/A,809.80
astar,true,2066.90,1946304,97.32,31513,N/A,711.52
bfs,true,671.94,1946452,97.32,31513,N/A,837.28
dfs,true,311.82,958485,47.92,31513,N/A,608.75
wallFollower,true,726.09,1699818,84.99,31513,N/A,721.97
dijkstra,false,1978.53,2189120,99.97,4765,0,476.37
astar,false,2637.13,2189070,99.96,4766,1,534.32
bfs,false,602.74,2189121,99.97,4765,0,846.16
dfs,false,105.07,192423,8.79,96070,91305,221.18
wallFollower,false,393.80,911827,41.64,25000,20235,352.30
