Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,9.23,22097,88.08,2091,N/A,11.41
astar,true,16.26,21669,86.37,2091,N/A,9.96
bfs,true,9.53,22097,88.08,2091,N/A,9.89
dfs,true,5.07,14605,58.22,2091,N/A,7.98
wallFollower,true,10.87,22601,90.09,2091,N/A,10.96
dijkstra,false,11.73,27360,99.80,552,0,8.49
astar,false,19.49,27001,98.49,553,1,9.30
bfs,false,7.83,27359,99.79,552,0,10.64
dfs,false,2.14,3642,13.28,2118,1566,3.64
wallFollower,false,5.27,11387,41.54,2558,2006,6.78
