Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,4.26,9824,87.33,1302,N/A,3.38
astar,true,6.98,9188,81.67,1302,N/A,3.72
bfs,true,4.17,9826,87.35,1302,N/A,4.32
dfs,true,2.94,5180,46.05,1302,N/A,3.45
wallFollower,true,5.02,10165,90.37,1302,N/A,3.61
dijkstra,false,5.20,12224,99.48,378,0,5.20
astar,false,6.00,6229,50.69,403,25,4.22
bfs,false,4.38,12225,99.49,378,0,4.04
dfs,false,2.00,2564,20.86,1582,1204,1.29
wallFollower,false,3.47,5379,43.77,1449,1071,2.65
