Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,1776.57,3389233,98.45,46309,N/A,1272.41
astar,true,3703.89,3389137,98.44,46309,N/A,1338.26
bfs,true,1238.89,3389231,98.45,46309,N/A,1714.74
dfs,true,467.58,1623874,47.17,46309,N/A,1044.66
wallFollower,true,1105.90,2487087,72.24,46309,N/A,1363.46
dijkstra,false,3957.63,3768721,99.97,6226,0,782.11
astar,false,5032.95,3768680,99.97,6226,0,1039.25
bfs,false,1077.96,3768722,99.97,6226,0,1317.27
dfs,false,166.02,283205,7.51,141603,135377,363.46
wallFollower,false,623.95,1555847,41.27,33939,27713,699.33
