Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,695.92,1372166,97.93,26248,N/A,593.71
astar,true,1365.35,1371951,97.92,26248,N/A,597.55
bfs,true,483.44,1372164,97.93,26248,N/A,768.72
dfs,true,222.38,716722,51.15,26248,N/A,497.25
wallFollower,true,572.32,1337721,95.47,26248,N/A,662.59
dijkstra,false,1205.99,1533529,99.96,3990,0,536.49
astar,false,1639.78,1533469,99.96,3990,0,212.51
bfs,false,374.82,1533530,99.96,3990,0,587.21
dfs,false,60.05,114329,7.45,56602,52612,128.38
wallFollower,false,158.66,347516,22.65,20187,16197,207.26
