Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,183.54,392349,96.88,11919,N/A,261.86
astar,true,345.25,392120,96.82,11919,N/A,135.13
bfs,true,133.75,392352,96.88,11919,N/A,250.78
dfs,true,65.28,177717,43.88,11919,N/A,132.82
wallFollower,true,186.65,438233,108.21,11919,N/A,212.72
dijkstra,false,264.58,443132,99.96,2167,0,134.03
astar,false,398.98,443098,99.95,2167,0,103.09
bfs,false,109.64,443132,99.96,2167,0,166.57
dfs,false,24.34,49014,11.06,26887,24720,41.80
wallFollower,false,85.57,195836,44.17,11716,9549,68.56
