Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,1344.45,2508718,99.11,36213,N/A,1059.68
astar,true,2717.38,2508606,99.11,36213,N/A,1197.08
bfs,true,950.50,2508718,99.11,36213,N/A,1124.51
dfs,true,437.07,1322523,52.25,36213,N/A,903.01
wallFollower,true,1089.43,2482394,98.07,36213,N/A,1063.02
dijkstra,false,2670.57,2770685,99.97,5347,0,676.79
astar,false,3337.09,2770645,99.97,5348,1,871.68
bfs,false,759.07,2770687,99.97,5347,0,1162.94
dfs,false,121.35,221350,7.99,110380,105033,243.46
wallFollower,false,678.89,1693736,61.11,26541,21194,682.73
