Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,7608.24,10341367,91.67,47471,4888.05
astar,true,7264.87,9823174,87.08,47471,4470.35
bfs,true,4244.18,10341372,91.67,47471,5648.95
dfs,true,1813.99,5853698,51.89,47471,3259.05
wallFollower,true,5081.77,11808133,104.67,47471,4484.27
dijkstra,false,20206.71,11819302,95.67,7976,3375.72
astar,false,10749.39,6125358,49.58,8051,2829.12
bfs,false,4334.11,11819366,95.67,7976,5007.47
dfs,false,1977.06,6528241,52.85,741445,3046.59
wallFollower,false,121.62,148072,1.20,59339,946.54
