Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,2154.85,3517876,89.74,24987,1656.57
astar,true,2357.31,3776109,96.33,24987,1531.96
bfs,true,1322.94,3517901,89.74,24987,1836.11
dfs,true,474.26,1536168,39.19,24987,833.52
wallFollower,true,1419.90,3351506,85.50,24987,1740.02
dijkstra,false,4755.01,4095164,95.40,4706,1126.97
astar,false,3170.93,2609062,60.78,4754,888.05
bfs,false,1346.27,4095282,95.40,4706,938.42
dfs,false,569.76,1953056,45.50,266331,1008.46
wallFollower,false,112.65,88938,2.07,35464,327.98
