Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,1044.04,2070824,98.55,31602,N/A,778.59
astar,true,2198.51,2070692,98.55,31602,N/A,795.80
bfs,true,720.91,2070821,98.55,31602,N/A,906.11
dfs,true,325.19,1044144,49.69,31602,N/A,752.57
wallFollower,true,727.61,1790930,85.23,31602,N/A,902.81
dijkstra,false,2052.58,2300341,99.97,4900,0,844.98
astar,false,2716.81,2300302,99.97,4900,0,607.42
bfs,false,632.40,2300341,99.97,4900,0,828.62
dfs,false,138.82,428422,18.62,103474,98574,314.55
wallFollower,false,220.04,507582,22.06,24221,19321,388.22
