Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,7400.41,10745616,94.30,51933,4960.81
astar,true,7485.17,10177341,89.31,51933,5240.54
bfs,true,4536.05,10745621,94.30,51933,5359.42
dfs,true,1884.55,6401546,56.18,51933,4141.80
wallFollower,true,5166.48,11892614,104.36,51933,6152.85
dijkstra,false,20553.28,11898708,95.35,7997,3226.90
astar,false,9963.00,5484017,43.95,8089,3432.54
bfs,false,4423.80,11899163,95.35,7997,4721.90
dfs,false,1843.13,6289012,50.40,761858,3251.02
wallFollower,false,1201.82,2611098,20.93,57715,1295.21
