Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,8.15,18146,90.74,1863,N/A,8.64
astar,true,13.73,17424,87.13,1863,N/A,6.59
bfs,true,7.93,18148,90.74,1863,N/A,6.15
dfs,true,4.68,8876,44.38,1863,N/A,3.28
wallFollower,true,9.34,16930,84.66,1863,N/A,7.86
dijkstra,false,10.19,21833,99.90,493,0,8.45
astar,false,16.29,20823,95.28,497,4,3.72
bfs,false,6.71,21833,99.90,493,0,8.69
dfs,false,3.99,8777,40.16,2759,2266,4.22
wallFollower,false,4.50,5638,25.80,2067,1574,6.20
