Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,5.39,12932,85.43,1653,N/A,6.81
astar,true,9.76,12217,80.71,1653,N/A,6.13
bfs,true,5.70,12933,85.44,1653,N/A,6.97
dfs,true,3.78,8386,55.40,1653,N/A,4.95
wallFollower,true,7.90,15770,104.18,1653,N/A,5.44
dijkstra,false,7.11,16500,99.70,433,0,7.71
astar,false,11.00,13323,80.50,439,6,6.20
bfs,false,5.33,16498,99.69,433,0,6.41
dfs,false,2.88,3318,20.06,1977,1544,3.16
wallFollower,false,4.72,8382,50.65,1684,1251,4.36
