Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,2.94,6187,80.49,985,N/A,3.26
astar,true,4.33,5028,65.40,985,N/A,2.77
bfs,true,2.55,6187,80.49,985,N/A,2.57
dfs,true,1.94,4291,55.82,985,N/A,1.79
wallFollower,true,3.95,7346,95.56,985,N/A,1.93
dijkstra,false,3.57,8356,99.55,304,0,2.90
astar,false,1.73,1035,12.35,335,31,1.51
bfs,false,2.72,8356,99.55,304,0,2.56
dfs,false,1.34,1702,20.28,986,682,1.12
wallFollower,false,2.81,5032,60.02,1158,854,2.44
