Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,343.11,705495,97.99,16889,N/A,302.04
astar,true,649.74,705336,97.96,16889,N/A,324.19
bfs,true,254.61,705498,97.99,16889,N/A,428.30
dfs,true,97.98,312723,43.43,16889,N/A,199.28
wallFollower,true,338.92,835303,116.01,16889,N/A,335.95
dijkstra,false,549.56,787970,99.96,2869,0,210.03
astar,false,782.16,787946,99.96,2869,0,188.30
bfs,false,208.77,787970,99.96,2869,0,289.78
dfs,false,55.99,153368,19.45,40299,37430,117.87
wallFollower,false,153.84,340514,43.19,15092,12223,142.06
