Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,87.72,199345,94.36,8163,N/A,119.31
astar,true,162.70,199032,94.22,8163,N/A,62.08
bfs,true,75.33,199345,94.36,8163,N/A,126.38
dfs,true,37.97,105808,50.09,8163,N/A,67.26
wallFollower,true,92.63,199098,94.25,8163,N/A,92.18
dijkstra,false,127.13,231105,99.95,1566,0,97.84
astar,false,203.15,231063,99.93,1567,1,69.50
bfs,false,60.52,231105,99.95,1566,0,96.98
dfs,false,8.84,23675,10.24,13307,11741,24.34
wallFollower,false,74.91,188523,81.55,7537,5971,67.23
