Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,141.96,330084,97.23,11289,N/A,201.84
astar,true,280.59,329816,97.15,11289,N/A,126.87
bfs,true,123.92,330080,97.23,11289,N/A,191.06
dfs,true,70.73,194719,57.36,11289,N/A,119.02
wallFollower,true,128.29,279104,82.21,11289,N/A,177.45
dijkstra,false,216.72,371542,99.96,1981,0,162.55
astar,false,326.82,371486,99.95,1981,0,133.41
bfs,false,94.41,371541,99.96,1981,0,158.16
dfs,false,20.21,42908,11.54,22208,20227,42.10
wallFollower,false,72.21,165030,44.41,9957,7976,77.65
