Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,162.62,360779,94.46,11819,N/A,197.05
astar,true,315.80,360456,94.38,11819,N/A,166.48
bfs,true,128.48,360781,94.46,11819,N/A,199.78
dfs,true,51.49,162871,42.64,11819,N/A,103.41
wallFollower,true,146.32,330207,86.46,11819,N/A,152.97
dijkstra,false,249.55,417945,99.96,2103,0,197.13
astar,false,372.29,417894,99.95,2103,0,86.56
bfs,false,105.43,417946,99.96,2103,0,155.75
dfs,false,33.70,80519,19.26,23699,21596,59.35
wallFollower,false,47.66,102574,24.53,10020,7917,77.56
