Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,1549.952,702936,58.52,8911,995.06
astar,true,3046.660,1166658,97.12,8911,676.58
bfs,true,1278.221,1177111,97.99,8911,1165.91
dfs,true,682.110,655259,54.55,8911,865.82
wallFollower,true,885.534,1100471,91.61,8911,1008.76
dijkstra,false,1637.449,583045,47.41,12632,1325.58
astar,false,4308.592,1205768,98.05,7254,922.72
bfs,false,1520.693,1212610,98.61,7254,1526.96
dfs,false,851.487,782853,63.66,19974,1126.50
wallFollower,false,1279.668,1360928,110.67,94524,1245.28
