Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,1841.269,778128,48.03,10486,1499.48
astar,true,4131.482,1561174,96.37,10486,786.65
bfs,true,1695.871,1581903,97.65,10486,1561.99
dfs,true,743.289,660296,40.76,10486,1096.73
wallFollower,true,1626.898,1927324,118.97,10486,1362.98
dijkstra,false,2424.143,859936,51.85,15082,1672.52
astar,false,5691.965,1631231,98.35,8712,1305.86
bfs,false,2076.491,1638922,98.82,8712,1850.94
dfs,false,574.273,508496,30.66,21852,864.81
wallFollower,false,2036.199,2108618,127.14,123095,1947.82
