Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,NaN,NaN,NaN,NaN,NaN
astar,true,39051.6738,173303,96.28,3442.3333333333335,33.86
bfs,true,136.8103,176094.33333333334,97.83,3442.3333333333335,10.04
dfs,true,34.1430,64354.333333333336,35.75,3442.3333333333335,5.17
wallFollower,true,54.1423,234658.66666666666,130.37,3442.3333333333335,12.22
dijkstra,false,NaN,NaN,NaN,NaN,NaN
astar,false,41720.4895,178634,96.94,2677,30.83
bfs,false,139.2209,181153.66666666666,98.30,2677,12.05
dfs,false,40.2834,95871.33333333333,52.03,6655,11.30
wallFollower,false,75.4511,213508,115.86,14524.333333333334,14.49
