Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,814.7270,398024.9,98.28,4871.4,18.92
astar,true,1111.1244,393137,97.07,4871.4,69.42
bfs,true,418.4334,398028,98.28,4871.4,19.58
dfs,true,108.8614,204505.8,50.50,4871.4,12.63
wallFollower,true,85.5943,404109.2,99.78,4871.4,18.08
dijkstra,false,946.5109,408432.4,98.51,4289.4,19.83
astar,false,1185.1261,403420,97.30,4315,77.28
bfs,false,395.6480,408430.4,98.51,4289.4,17.24
dfs,false,109.1281,240065.7,57.90,7574.2,11.01
wallFollower,false,88.9660,394685,95.20,29501.6,14.74
