Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,38.1000,20000,100.01,1,20.21
astar,true,39.2000,20000,100.01,1,24.39
bfs,true,24.9000,20000,100.01,1,20.55
dfs,true,27.3000,20000,100.01,1,1759218604460.95
wallFollower,true,37.5000,39999,200.01,1,1759218604459.48
astar,false,40.2000,20465,99.99,1,1759218604456.66
bfs,false,22.7000,20465,99.99,1,21.12
dfs,false,23.5000,20985,102.53,1,16.77
wallFollower,false,37.9000,40929,199.98,1,12.31
dijkstra,false,36.0000,20465,99.99,1,1759218604457.77
