Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,3807.069,1527132,33.94,18783,2636.26
astar,true,12728.910,4390129,97.56,18783,2167.26
bfs,true,5561.167,4418813,98.20,18783,3081.41
dfs,true,1938.922,1468035,32.62,18783,1960.74
wallFollower,true,6182.136,6080846,135.13,18783,3560.28
dijkstra,false,8425.943,3034384,65.87,30631,3054.32
astar,false,15550.666,4545706,98.67,15545,3275.23
bfs,false,5700.760,4557539,98.93,15545,2990.83
dfs,false,2480.305,1895007,41.13,46660,2488.81
wallFollower,false,4889.383,4573490,99.27,351988,2536.76
