Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,727.7373,764149.2,97.81,7076.2,25.70
astar,true,796.7166,755411.8,96.69,7076.2,122.24
bfs,true,503.2101,764148.6,97.81,7076.2,23.07
dfs,true,118.1383,408785.2,52.32,7076.2,18.79
wallFollower,true,133.7342,751207.6,96.15,7076.2,26.10
dijkstra,false,784.4048,789174,98.67,6045.6,18.23
astar,false,930.1524,783320.3,97.94,6070.8,127.29
bfs,false,473.4112,789177,98.67,6045.6,25.46
dfs,false,155.7326,426631.5,53.34,14459.8,17.36
wallFollower,false,153.1665,842949,105.40,61702.6,31.43
