Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,6354.654,2656034,65.40,17649,2247.83
astar,true,11739.358,3970192,97.76,17649,1811.72
bfs,true,4966.421,3996797,98.41,17649,2671.90
dfs,true,3265.415,2566899,63.20,17649,2346.66
wallFollower,true,3193.902,3006054,74.02,17649,2933.86
dijkstra,false,5939.427,2249999,54.12,26597,2853.81
astar,false,14080.662,4100945,98.63,14479,1629.19
bfs,false,5209.699,4113600,98.94,14479,3017.43
dfs,false,2833.487,2226444,53.55,30893,2300.19
wallFollower,false,4678.672,4330781,104.16,313992,2797.92
