Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,50102.2876,30120,96.39,1510.3333333333333,24.32
astar,true,1357.3908,27995,89.59,1510.3333333333333,10.62
bfs,true,67.0232,30118.666666666668,96.38,1510.3333333333333,3.42
dfs,true,12.9628,8903,28.49,1510.3333333333333,3.96
wallFollower,true,50.7575,46149.333333333336,147.68,1510.3333333333333,10.43
dijkstra,false,51483.5589,30528.666666666668,95.45,1032.3333333333333,17.71
astar,false,1530.5735,29163.333333333332,91.18,1032.3333333333333,11.36
bfs,false,69.5106,30528.333333333332,95.45,1032.3333333333333,2.85
dfs,false,24.1342,15198,47.52,2144.3333333333335,4.79
wallFollower,false,38.6945,38001.333333333336,118.83,2853.6666666666665,8.83
