Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],MemoryUsed [MB]
dijkstra,true,1.00,390,86.86,0.98
astar,true,0.81,388,86.41,0.59
bfs,true,1.25,390,86.86,1.58
dfs,true,1.14,377,83.96,1.67
wallFollower,true,0.56,268,59.69,0.30
dijkstra,false,0.70,487,99.80,1.16
astar,false,0.62,497,101.84,0.72
bfs,false,0.78,488,100.00,1.14
dfs,false,0.86,271,55.53,1.06
wallFollower,false,0.51,692,141.80,0.47
