Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,1210.7229,1176521.9,97.94,8751,34.75
astar,true,1340.3567,1162491.3,96.77,8751,198.72
bfs,true,749.7700,1176516.3,97.94,8751,31.87
dfs,true,171.0934,581733.8,48.43,8751,19.35
wallFollower,true,211.9446,1247726.4,103.87,8751,42.09
dijkstra,false,1283.9378,1218226,99.06,7819.6,37.26
astar,false,1605.3660,1214376.3,98.74,7856.2,208.57
bfs,false,823.3012,1218227.6,99.06,7819.6,24.04
dfs,false,156.9710,569557.9,46.31,23946,24.13
wallFollower,false,202.1151,1153717,93.81,87456.8,36.07
