Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,426.8046,492539.4,98.51,5678.2,16.37
astar,true,466.2801,485357.1,97.07,5678.2,86.48
bfs,true,305.5590,492539.4,98.51,5678.2,18.76
dfs,true,83.2736,286639.2,57.33,5678.2,14.04
wallFollower,true,88.8703,432378.4,86.48,5678.2,18.20
dijkstra,false,441.7727,502064.6,98.09,4483.2,20.21
astar,false,559.0662,494195.9,96.55,4574.4,86.39
bfs,false,311.4426,502069.2,98.09,4483.2,20.08
dfs,false,74.4730,250770.4,48.99,10538.8,12.88
wallFollower,false,104.7690,558083,109.03,38836.4,19.03
