Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,1458.8158,647219,97.88,6499.8,27.69
astar,true,2028.4090,639291.3,96.68,6499.8,119.80
bfs,true,636.7644,647221,97.88,6499.8,24.88
dfs,true,150.3212,346764.2,52.44,6499.8,15.27
wallFollower,true,130.4896,635335.2,96.08,6499.8,22.28
dijkstra,false,1695.6783,667500.1,98.61,5222.8,25.38
astar,false,2111.3278,657066.4,97.07,5253.2,117.30
bfs,false,682.7935,667500.8,98.61,5222.8,28.66
dfs,false,177.2743,347323.6,51.31,11453.4,17.00
wallFollower,false,150.8123,782058.4,115.53,47444,26.33
