Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,1.62,4101,82.04,815,N/A,1.25
astar,true,1.97,2984,59.69,815,N/A,1.40
bfs,true,1.66,4102,82.05,815,N/A,1.14
dfs,true,1.33,2864,57.30,815,N/A,0.90
wallFollower,true,1.82,4679,93.59,815,N/A,1.29
dijkstra,false,1.89,5423,99.44,251,0,0.85
astar,false,1.25,540,9.89,294,43,0.83
bfs,false,1.73,5423,99.44,251,0,0.99
dfs,false,1.31,1715,31.44,866,615,0.79
wallFollower,false,1.68,3656,67.04,870,619,1.06
