Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,NaN,NaN,NaN,NaN,NaN
astar,true,200442.6714,394864,97.50,5174.333333333333,20.74
bfs,true,319.7809,398733.3333333333,98.45,5174.333333333333,17.92
dfs,true,89.6514,194302.33333333334,47.98,5174.333333333333,6.74
wallFollower,true,93.0553,426505.3333333333,105.31,5174.333333333333,22.29
dijkstra,false,NaN,NaN,NaN,NaN,NaN
astar,false,212042.6629,405563,97.83,4065.6666666666665,21.01
bfs,false,295.9024,409573.6666666667,98.80,4065.6666666666665,14.69
dfs,false,80.8845,183607.66666666666,44.29,7212.333333333333,13.86
wallFollower,false,119.3580,450028,108.55,33953.666666666664,19.31
