Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,985.7113,960566.2,98.02,8037.8,34.59
astar,true,996.1507,953245.1,97.27,8037.8,158.14
bfs,true,617.2077,960565.8,98.02,8037.8,37.43
dfs,true,114.5350,382703.6,39.05,8037.8,17.06
wallFollower,true,210.8824,1201536.4,122.61,8037.8,39.12
dijkstra,false,988.4122,990785.1,98.75,6633.2,27.15
astar,false,1215.4851,984475.6,98.12,6672.2,155.45
bfs,false,662.3446,990783.2,98.75,6633.2,35.50
dfs,false,170.1194,386441.8,38.52,15490.4,17.79
wallFollower,false,240.3049,1091299,108.77,74972.8,36.62
