Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,13.37,58980,96.29,3095,24.26
astar,true,14.77,59985,97.94,3095,20.10
bfs,true,12.26,58981,96.30,3095,20.31
dfs,true,5.98,33138,54.10,3095,18.81
wallFollower,true,7.81,59184,96.63,3095,27.42
dijkstra,false,16.15,66948,99.92,852,24.26
astar,false,14.28,68196,101.78,853,23.81
bfs,false,10.63,66948,99.92,852,25.74
dfs,false,5.98,32193,48.04,3529,15.39
wallFollower,false,9.04,69057,103.07,19282,28.77
