Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,NaN,NaN,NaN,NaN,NaN
astar,true,4812.8136,59165.333333333336,96.60,1915.6666666666667,10.54
bfs,true,55.7947,60448,98.69,1915.6666666666667,8.45
dfs,true,30.5391,40638.333333333336,66.35,1915.6666666666667,5.87
wallFollower,true,23.2335,43064,70.31,1915.6666666666667,7.43
dijkstra,false,NaN,NaN,NaN,NaN,NaN
astar,false,4651.5779,58693,93.61,1508.3333333333333,10.27
bfs,false,63.3667,60661,96.75,1508.3333333333333,4.88
dfs,false,13.5009,15042,23.99,2972.3333333333335,6.61
wallFollower,false,20.4963,43602,69.55,5653.666666666667,13.16
