Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,NaN,NaN,NaN,NaN,NaN
astar,true,96100.9932,272773.6666666667,96.99,3755.6666666666665,41.56
bfs,true,211.4472,276956.6666666667,98.47,3755.6666666666665,20.58
dfs,true,49.6397,127480.33333333333,45.33,3755.6666666666665,12.49
wallFollower,true,68.2316,310874.6666666667,110.53,3755.6666666666665,14.15
dijkstra,false,NaN,NaN,NaN,NaN,NaN
astar,false,100909.0251,278858,96.86,3139.6666666666665,49.49
bfs,false,206.1951,282392,98.09,3139.6666666666665,13.04
dfs,false,67.0341,143766.66666666666,49.94,7648.333333333333,12.91
wallFollower,false,56.3425,233396.66666666666,81.07,18109.666666666668,11.12
