Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,876.8318,885527.9,97.18,7461.4,27.98
astar,true,909.2350,871157.2,95.60,7461.4,145.41
bfs,true,559.9756,885539.5,97.18,7461.4,31.49
dfs,true,112.9027,375111.2,41.16,7461.4,7.89
wallFollower,true,185.7503,1079226.4,118.43,7461.4,36.94
dijkstra,false,915.5400,916667.3,98.26,6200.8,34.49
astar,false,1095.5468,910011.2,97.55,6226,155.81
bfs,false,605.0795,916673.1,98.27,6200.8,29.73
dfs,false,136.1511,463817.4,49.72,14797.4,20.71
wallFollower,false,226.4366,1341712.6,143.83,66486.4,41.15
