Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,NaN,NaN,NaN,NaN,NaN
astar,true,11325.9611,91652.33333333333,90.52,2430.3333333333335,21.34
bfs,true,88.9114,96923.66666666667,95.73,2430.3333333333335,7.27
dfs,true,22.5676,37119.666666666664,36.66,2430.3333333333335,9.17
wallFollower,true,35.1393,130676,129.06,2430.3333333333335,9.69
dijkstra,false,NaN,NaN,NaN,NaN,NaN
astar,false,13261.3153,100106,96.61,2065,23.08
bfs,false,82.1304,101457.66666666667,97.91,2065,10.51
dfs,false,23.6766,48917.666666666664,47.21,4591.666666666667,9.00
wallFollower,false,26.8778,73100.66666666667,70.54,8265.666666666666,3.01
