Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,9.4755,1169.8,65.03,260.6,0.39
astar,true,8.2751,966.3,53.71,260.6,0.12
bfs,true,5.7206,1170.2,65.05,260.6,0.11
dfs,true,4.4000,924.4,51.38,260.6,0.28
wallFollower,true,4.2661,1912.8,106.33,260.6,0.29
dijkstra,false,10.5231,1563.6,84.99,228.2,0.48
astar,false,9.2037,1324.3,71.98,229.2,0.44
bfs,false,6.1211,1563.7,84.99,228.2,0.29
dfs,false,3.9467,896.3,48.72,320.2,0.23
wallFollower,false,5.1367,2216.4,120.45,379,0.29
