Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,551.1899,592898.3,98.00,6730.2,18.55
astar,true,607.8141,588326.3,97.24,6730.2,112.02
bfs,true,373.2376,592896.8,98.00,6730.2,13.57
dfs,true,91.2997,315772.4,52.19,6730.2,2.45
wallFollower,true,112.9173,585130.4,96.72,6730.2,13.17
dijkstra,false,555.0491,608053.9,98.17,4903.4,16.68
astar,false,738.2753,600888.9,97.02,4934.2,105.47
bfs,false,369.2002,608055.1,98.17,4903.4,19.96
dfs,false,87.9005,290280.4,46.87,11047,5.43
wallFollower,false,114.4245,602378.4,97.26,45441.4,13.26
