Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,2424.3561,962791.5,98.24,8186.2,35.27
astar,true,2939.5321,955285.4,97.48,8186.2,155.20
bfs,true,989.5630,962790.7,98.24,8186.2,33.76
dfs,true,194.2351,380522.8,38.83,8186.2,14.37
wallFollower,true,224.0790,1206234.4,123.09,8186.2,39.35
dijkstra,false,2688.7576,982830.1,97.96,6342.6,29.30
astar,false,3225.2750,971519.1,96.84,6371.8,163.54
bfs,false,921.3882,982830.5,97.96,6342.6,37.04
dfs,false,257.7122,681690.8,67.95,14806.4,27.10
wallFollower,false,298.2583,1066667.8,106.32,76048.2,31.65
