Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,5688.415,2400039,51.60,19327,2582.68
astar,true,12742.819,4499920,96.75,19327,2123.87
bfs,true,5532.933,4544178,97.70,19327,3405.42
dfs,true,2971.541,2320599,49.89,19327,3096.52
wallFollower,true,4728.587,4678692,100.59,19327,2784.84
dijkstra,false,6104.316,2371318,49.80,29138,3172.05
astar,false,15344.328,4670402,98.08,15321,3677.36
bfs,false,5979.879,4690584,98.50,15321,2975.87
dfs,false,2938.640,2273799,47.75,40554,2989.39
wallFollower,false,5315.693,5139508,107.93,345304,2997.96
